Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well,Project ID,Sample Name,Source Agar Plate Barcode,Destination Plate Name
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,C8,H3,C11,00167,,,
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,C8,H3,D11,00167,,,
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,C8,H3,E11,00167,,,
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,D3,C4,F11,00167,Thelma 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDSTAMP-00167-110320231,D3,C4,F11,00167,Thelma 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D3,C4,G11,00167,,,
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D3,C4,H11,00167,,,
SDSOURCE-00167-103120232,SDDEST-00167-103120232,D3,C4,A12,00167,,,
SDSOURCE-00167-103120232,SDDEST-00167-103120232,D4,D4,B12,00167,,,
SDSOURCE-00167-103120232,SDDEST-00167-103120232,D4,D4,C12,00167,,,
SDSOURCE-00167-103120232,SDDEST-00167-103120232,D4,D4,D12,00167,,,
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D4,D4,E12,00167,,,
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D5,E4,F12,00167,,,
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D5,E4,G12,00167,,,
SDSOURCE-00167-103120232,SDSTAMP-00167-103120232,D5,E4,A1,00167,,,
